recipe_name,prep(mins),cooking(mins),food type,Calories(kcal),Carbohydrates(g),Protein(g),Fat(g),Saturated Fat(g),Polyunsaturated Fat(g),Sodium(mg),Potassium(mg),Fiber(g),Sugar(g),Vitamin A(IU),Vitamin C(mg),Calcium(mg),Iron(mg),Serving(per g Calories),Cholesterol(mg),Trans Fat(g),source,Cluster
Slow Cooker Chicken Adobo,,,,1534.7275,8.6675,36.4675,150.5525,41.155,30.895,2799.7725,617.1075,0.455,3.615,667.4825,0.0,37.85,1.99,,356.7375,3.11,RecipeDB,0
Steamed Palm Sugar Custards,,,,147.38,8.925,8.9025,8.36,4.1925,0.8325,114.19,276.06,0.0,9.3325,431.46,0.0,220.79,0.49,,111.3,0.03,RecipeDB,0
PAKSIW NA ISDA (Boiled Pickled Fish and Vegetables),,,,11.0125,1.355,0.22,0.04,0.0025,0.0075,2.6075,80.7275,0.6375,0.485,57.11,10.0025,6.7425,0.1325,,0.0,0.0,RecipeDB,0
Filipino Bistek,,,,50.9625,11.3025,1.815,0.1525,0.04,0.045,662.8925,166.625,1.38,6.745,1.7275,7.025,24.815,0.345,,0.0,0.0,RecipeDB,0
Monkey Meat,,,,287.4475,0.9525,49.895,7.8625,2.7425,1.1925,263.7325,865.7425,0.0575,0.0875,0.19,0.7,20.7775,2.0075,,142.9575,0.14,RecipeDB,0
Crema De Fruta,,,,1082.7625,136.6475,32.58,49.355,40.2775,1.6275,220.0775,853.5525,5.5825,121.29,639.2975,9.515,203.7175,5.5275,,287.2275,0.0,RecipeDB,0
Filipino Cube Steak (Bistek Tagalog),,,,482.23,13.5325,76.3175,11.785,4.0825,1.8375,1430.925,1477.72,1.6025,2.6525,2760.8175,8.8575,61.8475,3.5125,,214.2,0.21,RecipeDB,0
Pork Patatim (Filipino-Chinese Stewed Pork Leg-Knuckles),,,,280.275,63.49,3.795,2.45,0.345,1.055,1918.52,338.87,1.445,56.6,0.9025,0.0375,95.3225,1.1025,,0.785,0.0,RecipeDB,0
Filipino Pancit,,,,277.4325,16.93,27.735,10.74,3.0725,2.2975,1704.6975,613.4725,2.995,10.1125,5839.7875,23.4925,71.755,2.005,,72.5725,0.47,RecipeDB,0
Islands Chicken & Pork Filipino Adobo,,,,5428.15,12.2075,285.07,466.4075,141.285,88.3175,1138.945,4626.7125,1.99,3.045,1783.1975,3.64,138.3875,12.525,,1522.5,8.87,RecipeDB,0
Escabeche (Sweet and Sour Fish),,,,286.13,40.175,3.01,14.17,11.19,0.475,465.9,347.3575,2.1425,29.78,2801.8275,10.645,78.1625,1.0075,,0.0,0.0,RecipeDB,0
Stir Fry Vegetables,,,,526.4775,55.6,32.27,20.63,9.08,3.7375,268.9175,829.0875,7.5575,3.3775,624.505,68.64,69.0975,3.185,,72.5725,0.47,RecipeDB,0
Asian Veggie Glass Noodles,,,,173.575,13.8675,10.6525,8.73,0.9025,2.595,1088.395,373.43,2.3825,3.99,3529.47,10.29,91.245,1.6325,,18.475,0.11,RecipeDB,0
Arroz Valenciana,,,,2259.8575,46.605,56.0,206.705,66.915,36.4,1627.445,1304.47,4.66,15.46,1065.5725,45.405,82.0075,5.3675,,439.64,3.11,RecipeDB,0
Beef Salpicao,,,,353.2875,3.2425,22.5225,27.36,10.47,1.6175,140.88,431.1975,0.16,0.895,8.67,2.43,44.195,2.1975,,96.3325,0.0,RecipeDB,0
Philippine Stir-Fried Rice Noodles: Pansit Grisado(Vegetarian),,,,574.985,118.3225,19.095,2.045,0.4025,0.8575,2171.0975,920.2,8.1775,7.845,17741.53,26.735,230.055,3.705,,14.165,0.0,RecipeDB,0
Beef Salpicao (stir-fried Garlic Beef),,,,417.7225,5.985,24.715,32.805,11.2325,4.0025,434.9425,417.52,1.23,0.0575,78.745,1.4175,86.1775,2.06,,96.3325,0.0,RecipeDB,0
Best Lumpiang Shanghai (Filipino Spring Rolls),,,,20589.6425,260.2675,3875.765,328.45,88.8425,88.3775,160453.3525,32431.41,0.8275,0.805,51208.0725,1.6275,15341.8275,60.9375,,35876.995,20.43,RecipeDB,3
Filipino Chicken Adobo (Adobong Manok),,,,31.555,1.98,2.6075,0.865,0.14,0.45,1765.2,169.6975,0.255,0.3125,0.4225,0.005,13.5525,0.545,,0.545,0.0,RecipeDB,0
Garlic & Chili Prawns,,,,229.245,7.3175,17.6575,14.095,2.0075,2.6575,313.5075,238.84,0.415,5.165,403.495,5.0,115.685,1.7025,,43.75,0.0,RecipeDB,0
Pork (Chicken) Adobo,,,,963.9275,5.8725,33.0875,87.6325,29.33,10.0125,974.21,675.09,0.5625,0.1525,301.42,1.34,56.9175,2.0325,,167.83,0.0,RecipeDB,0
Chicken Adobo Filipino Style,,,,22.97,1.765,2.6225,0.19,0.025,0.085,1751.545,143.07,0.3275,0.14,1.5725,0.0,13.575,0.4975,,0.0,0.0,RecipeDB,0
Filipino Pork BBQ,,,,82.2675,17.9575,2.9975,0.25,0.0325,0.1,1755.15,178.74,0.41,13.725,1.3875,7.5375,22.8225,0.635,,0.0,0.0,RecipeDB,0
Filipino Beef Steak or Bistek,,,,259.885,7.4675,23.92,14.485,5.8425,0.5625,62.17,472.1125,1.3025,3.1925,1.625,5.985,46.9825,1.8575,,85.0,0.0,RecipeDB,0
Romy’s Ribs With Filipino Seasonings,,,,477.365,13.2175,93.825,3.6475,0.7025,1.1775,2064.5675,1411.355,1.94,7.19,1433.34,34.4025,586.7825,8.3775,,226.665,0.0,RecipeDB,0
Pork Chops in Soy Sauce,,,,716.0375,152.6825,18.57,1.6,0.385,0.4975,3512.9225,515.6125,3.2125,1.2175,0.35,1.295,82.7875,8.9325,,0.0,0.0,RecipeDB,0
Filipino Shrimp Balls,,,,393.135,47.66,20.565,13.4125,7.075,1.33,1216.58,452.0925,2.045,33.07,4764.5175,10.565,140.93,2.51,,260.375,0.11,RecipeDB,0
Pineapple Chicken Afritada,,,,1382.04,50.4425,27.8275,121.3375,29.5825,29.0,638.9175,1503.3325,7.5875,33.5725,7004.9125,41.225,85.775,5.43,,237.825,2.07,RecipeDB,0
Hot & Sour Shrimp,,,,397.4,18.375,17.6825,28.955,4.475,11.25,1248.8075,428.0975,2.755,11.115,6038.31,20.005,142.53,1.1775,,142.8,0.08,RecipeDB,0
Philippine Mung Beans in Coconut Milk,,,,300.6475,8.01,3.7825,30.5475,26.5375,0.4,236.9425,336.465,2.915,4.94,8.19,7.925,22.265,2.04,,0.0,0.0,RecipeDB,0
Best Chicken Adobo,,,,44.4975,3.165,5.1875,0.3625,0.045,0.1675,3502.9775,278.5025,0.51,0.2775,0.0,0.0,24.6075,0.94,,0.0,0.0,RecipeDB,0
Boiled Pork With Lemon (Sinigang Na Baboy),,,,476.3425,5.7625,46.34,28.7825,9.915,3.115,132.22,1157.0775,2.2025,2.5325,4286.4875,64.8325,165.78,2.565,,142.8,0.0,RecipeDB,0
Shrimp With Veggies,,,,267.32,6.62,32.0625,12.0125,6.5725,1.095,1734.9425,405.94,1.19,2.0025,3550.1175,17.425,137.315,0.7625,,310.175,0.16,RecipeDB,0
Pork Adobo,,,,956.825,5.7625,34.66,86.5725,33.8,8.8225,1849.1225,778.8775,1.0225,1.855,20.5825,4.1,69.01,2.1675,,167.83,0.0,RecipeDB,0
Easy Bibingka,,,,309.6425,29.3525,6.15,19.3425,14.715,0.985,86.68,211.0525,1.435,27.3025,212.685,1.68,75.925,1.555,,99.125,0.26,RecipeDB,0
Pork Guisantes (Filipino Pork and Peas),,,,733.4275,8.4475,25.4575,66.19,25.165,6.755,306.28,728.085,1.615,4.315,535.205,8.7625,56.425,1.9725,,142.2575,0.0,RecipeDB,0
Rosie's Chicken and Pork Adobo,,,,891.4125,7.945,41.685,77.445,24.89,14.14,1937.9225,683.18,1.375,2.98,637.12,9.975,83.2975,2.265,,231.0425,1.75,RecipeDB,0
Tinola,,,,42.5725,9.41,1.5725,0.2875,0.11,0.06,721.1525,250.5525,1.975,4.415,2203.035,48.5475,89.4075,1.0125,,0.0,0.0,RecipeDB,0
Crab in Coconut Milk (Alimango Sa Gata),,,,334.07,12.3025,3.435,32.275,25.6575,1.3475,281.9775,442.23,3.9475,6.075,2701.9475,6.545,39.615,2.22,,0.0,0.05,RecipeDB,0
Beef Pares,,,,440.89,56.44,32.925,10.5025,6.895,0.4175,4011.955,752.8175,0.6875,50.4125,0.29,1.1075,44.2125,3.315,,62.3325,0.51,RecipeDB,0
Filipino Breakfast Steak,,,,277.12,5.3,52.03,3.895,1.1925,0.74,115.01,922.7275,0.115,4.3875,1.7625,0.6625,20.1875,1.9075,,140.5325,0.08,RecipeDB,0
Carne Frita,,,,179.4425,7.7475,29.4625,2.215,0.6875,0.415,67.75,637.0725,1.36,3.51,1.6,5.92,29.7,1.225,,77.455,0.04,RecipeDB,0
A Different Way to Make Chicken & Rice,,,,427.3375,65.75,22.0325,7.2925,2.7925,1.3425,1250.195,525.1975,1.5025,4.1875,6332.84,12.5425,74.4675,8.775,,205.7575,0.14,RecipeDB,0
Pinakbet (Filipino Meat Veggie Stew With Shrimp Paste),,,,775.1975,72.8125,55.41,28.2275,12.9575,2.7775,196.0125,1153.4225,4.0175,5.395,1520.6175,30.69,361.18,5.815,,155.29,0.0,RecipeDB,0
Country Style Pork Ribs Adobong,,,,546.925,5.02,92.8025,13.8225,10.225,1.3225,1497.1025,1274.2475,1.2475,1.6925,454.14,2.5925,562.44,7.495,,227.2125,0.0,RecipeDB,0
Adobo,,,,25.34,2.355,3.89,0.2725,0.0325,0.125,2626.34,207.9825,0.3825,0.19,0.0,0.0,15.7775,0.6925,,0.0,0.0,RecipeDB,0
Humba (Braised Pork Belly),,,,23332.2775,2348.755,778.805,1350.615,172.395,426.975,14421.42,23982.1575,234.7975,2000.435,258.335,0.6625,4548.375,147.49,,127.5,0.0,RecipeDB,0
Pork Spareribs Macao-Style Asado,,,,742.2575,28.1275,36.455,53.1475,17.085,9.0075,1068.045,662.0775,0.2725,26.7475,3.145,0.0,70.555,2.5425,,181.3325,2.01,RecipeDB,0
Greg's Pork Asado,,,,357.2275,17.845,50.78,7.805,2.705,1.2075,1333.6275,924.6525,0.17,16.78,0.0,0.0,26.8725,2.2725,,142.8,0.14,RecipeDB,0
Filipino Bolognese Sauce,,,,229.9425,9.02,26.925,9.9075,2.1425,0.865,65.3325,514.765,1.38,6.015,151.325,33.09,26.2025,2.4225,,62.3325,0.51,RecipeDB,0
Filipino Chicken BBQ (Chicken Inasal),,,,250.44,2.295,19.725,17.565,5.01,3.79,79.135,252.765,0.28,0.1375,961.0625,5.765,22.3875,1.69,,97.465,0.0,RecipeDB,0
Adobo Ni Hazel,,,,221.67,0.7875,9.1875,19.975,7.065,2.195,902.6925,213.05,0.1275,0.0625,4.535,0.225,16.0525,0.6225,,41.9575,0.0,RecipeDB,0
Andrea's Favourite (Aka Chicken Adobo),,,,22.8925,2.325,2.6,0.5225,0.08,0.2675,1757.26,140.635,0.255,0.8675,0.21,0.0025,11.2625,0.4675,,0.2725,0.0,RecipeDB,0
Filipino Embutido,,,,943.305,31.3325,42.48,71.98,24.11,10.27,1994.065,1087.595,2.42,10.35,507.1975,17.2875,143.78,3.99,,313.7625,0.07,RecipeDB,0
Tocino (Version 7),,,,360.82,52.1625,34.06,0.8675,0.22,0.2925,118.57,434.575,0.2175,50.1475,170.0,0.0275,208.575,2.7025,,85.0,0.0,RecipeDB,0
Laing - Taro Leaves in Coconut Milk,,,,127472.5075,288.1975,7822.0325,10293.6075,3652.8375,1165.4175,172661.4425,104732.0825,6.8025,10.3225,53368.9375,135.9225,20796.67,260.0775,,56720.955,20.68,RecipeDB,3
Special Meatball Pasta,,,,5529.8025,496.19,552.345,144.015,33.8,8.78,14457.4725,24123.0925,114.78,354.5225,31486.9775,299.305,3804.8775,77.4525,,1242.75,3.88,RecipeDB,0
Nilaga (Filipino Chicken Stew),,,,4049.3575,13.545,88.2,404.6125,110.2,82.6275,816.2175,1239.8125,1.1375,2.375,3936.6875,4.7225,101.9025,3.8,,951.5725,8.29,RecipeDB,0
Chicken Curry,,,,1052.6925,17.395,3.78,108.1975,89.945,1.945,2130.51,505.3625,2.4,5.93,667.645,147.045,49.0875,1.3525,,0.0,0.12,RecipeDB,0
Easy Filipino Pancit Noodles for Two,,,,145.5675,24.6375,2.84,3.705,2.0675,0.7175,712.91,85.17,0.875,0.215,191.5875,0.5975,13.79,0.4625,,0.0,0.0,RecipeDB,0
Filipino Fish Adobo,,,,394.05,0.7925,67.47,11.915,8.7475,0.7475,231.885,792.4325,0.08,0.02,340.9775,0.6625,407.165,4.81,,170.0,0.0,RecipeDB,0
Filipino Chicken Stew,,,,515.3975,5.1025,38.2025,36.2975,9.9275,7.6575,645.3975,622.53,1.0625,1.8725,3265.945,2.9875,39.1425,1.9275,,210.8,0.54,RecipeDB,0
Spicy Chicken Curry,,,,366.65,25.8,6.9775,29.27,25.4675,0.5,2150.1475,857.8175,6.715,10.025,668.2425,150.4275,83.735,3.8675,,0.0,0.0,RecipeDB,0
Bringhe (Filipino Paella),,,,990.72,71.2875,10.635,78.6325,64.6425,3.0675,649.65,906.0075,14.6625,17.795,94.5575,33.7375,65.815,5.805,,0.0,0.0,RecipeDB,0
Chicken with Sotanghon Noodles,,,,332.395,65.4325,2.9375,7.4475,4.175,0.3925,392.8975,422.0325,4.8275,10.2025,8717.89,31.9925,139.04,2.46,,16.3825,0.0,RecipeDB,0
Lumpia (Asian),,,,570.385,2.3275,42.635,42.89,15.04,5.0025,660.325,698.9075,0.6725,0.825,860.3625,2.83,125.0425,2.125,,359.3825,0.05,RecipeDB,0
Cebuano Lumpia,,,,130.5775,5.515,4.7625,10.085,3.56,1.14,30.9875,233.5175,1.4175,2.115,4316.05,32.66,25.0275,0.4675,,20.9775,0.0,RecipeDB,0
Filipino Beef Stew (Sinigang Na Carne),,,,253.99,4.87,24.965,14.4775,5.075,1.335,89.5875,528.4725,1.06,2.37,510.6525,10.4375,72.7025,2.11,,77.3825,0.0,RecipeDB,0
Filipino BBQ Chicken (Negrense With Love),,,,174.3175,19.6575,3.4625,9.0325,1.2725,3.9525,20.9175,153.2775,2.0075,13.625,17.6425,0.8775,98.595,0.78,,0.0,0.0,RecipeDB,0
Maja Blanca (Creamy Milk Pudding),,,,812.6,101.1975,7.4,45.4,39.225,0.7575,58.005,652.9325,5.1625,60.1725,181.305,5.035,100.6175,3.28,,6.1,0.0,RecipeDB,0
Vegetarian Pansit Noodles (Filipino),,,,437.2675,81.9425,12.575,8.61,0.8725,2.705,591.61,975.2875,12.705,14.88,4706.4375,57.5875,211.995,4.72,,0.0,0.11,RecipeDB,0
Filipino Style Bubur Cha-Cha,,,,88427.0625,9617.4525,571.9,5724.2575,5074.4025,63.1425,3892.0125,67280.55,542.5125,8406.97,455.25,720.5875,5047.8375,434.9425,,37.5,0.0,RecipeDB,0
Arroz Caldo,,,,369.7175,28.585,40.005,9.465,2.8825,2.1825,4662.6925,1309.5475,1.3575,4.2425,6283.1425,13.62,61.0325,8.2275,,201.91,0.14,RecipeDB,0
Shrimp Fried Rice,,,,950.015,123.3225,84.815,12.085,6.915,1.4625,1134.05,1419.8625,5.855,5.9575,7872.0325,23.5275,320.3475,9.2275,,629.24,0.08,RecipeDB,0
Nanay's Filipino Fried Chicken,,,,36.05,2.38,3.89,0.2725,0.0325,0.125,2629.3075,209.1725,0.3825,0.215,0.0,0.0,28.235,0.71,,0.0,0.0,RecipeDB,0
Halo-Halo - Hawaiian Filipino Dessert,,,,977.7575,130.31,16.1375,45.3325,25.855,1.745,228.785,1294.7425,6.8575,96.9475,3960.32,58.505,473.8475,1.57,,313.04,0.0,RecipeDB,0
Phillipino Chicken With Noodles,,,,583.32,2.685,42.625,43.7425,15.7275,7.6925,167.785,469.4875,0.375,0.64,790.825,6.285,73.8025,2.1675,,194.575,0.87,RecipeDB,0
Arroz a La Cubana,,,,882.6725,80.7875,39.6125,48.0525,21.8725,3.76,713.0975,2091.0525,9.415,39.8,19525.3275,64.8575,128.455,6.0975,,356.5,3.86,RecipeDB,0
Chinese Twice Cooked Whole Fish (Or Fillets),,,,357.5825,2.9925,23.0775,28.14,3.96,3.255,82.5175,331.6475,0.5225,0.5025,709.315,6.215,152.8775,2.07,,56.665,0.0,RecipeDB,0
Beef Morcon,,,,78959.495,160.4575,3281.93,7130.6925,2565.605,916.4225,166197.2625,58294.045,1.4325,5.2775,10726.4025,460.5225,4278.0225,273.4675,,17517.14,1.26,RecipeDB,3
Sinigang Na Baka (Beef and Tamarind Soup),,,,217.1575,12.1625,24.9125,7.95,0.74,2.325,97.9125,725.265,3.8025,6.485,1295.685,29.785,180.0225,2.6,,56.665,0.11,RecipeDB,0
Chicken and Ampaliya,,,,114.0025,5.61,0.8175,10.1925,1.4175,1.0875,3.97,80.415,0.77,1.6525,1.3225,4.7625,26.19,0.2425,,0.0,0.0,RecipeDB,0
Filipino Chocolate Meat (Dinuguan),,,,95.11,4.5325,15.15,0.43,0.1175,0.14,1112.48,310.975,0.8425,2.1325,138.3575,8.7725,104.39,1.37,,35.415,0.0,RecipeDB,0
Sweet Chicken With Pineapple and Honey Dressing,,,,5452.58,1366.52,71.33,32.8125,10.92,6.1875,3660.2225,11685.1725,145.595,1023.55,6391.5675,4932.92,1379.1875,31.2525,,95.7025,0.13,RecipeDB,0
Pork Loin Salpicao,,,,293.56,2.555,27.42,19.4775,4.9,3.9375,1271.0725,398.6975,0.15,0.0475,13.8225,0.0175,45.355,1.26,,82.9375,0.52,RecipeDB,0
Chicken Adobo in Coconut Milk (Adobong Manok Sa Gata),,,,165757.535,3994.12,1682.285,17163.5725,15217.415,188.3825,10915.065,189774.7875,1584.35,2407.665,720.7525,2041.7,11733.7775,1182.79,,101.3825,0.0,RecipeDB,3
Peppered Crab,,,,99.2425,3.025,0.37,9.65,3.4475,1.8525,1.28,49.865,0.6225,1.1775,3.695,2.06,8.95,0.115,,5.375,0.0,RecipeDB,0
Filipino Pandesal Bread ( Bread Machine ),,,,893.2375,160.0125,16.6975,20.2275,7.98,4.9975,200.5025,396.6475,6.1575,27.3925,227.68,0.42,147.55,1.7725,,57.74,0.01,RecipeDB,0
Coconut Adobo Shrimp,,,,550.8825,10.96,18.2525,50.2,21.615,5.36,666.305,497.0175,3.345,5.8975,3079.63,13.45,113.855,2.105,,142.8,0.08,RecipeDB,0
Adobo Style Shrimp (Filipino),,,,112.72,6.9725,16.425,1.2325,0.3125,0.3725,1082.3175,216.4975,0.365,3.6825,237.3925,1.7325,79.31,0.59,,142.8,0.08,RecipeDB,0
Visayan Pork Stew (Humba),,,,611.9175,47.2,56.655,22.64,4.6,6.31,1045.37,1155.215,4.14,35.0225,336.9925,21.02,352.7925,5.875,,121.525,0.0,RecipeDB,0
Homestyle Chicken and Vegetable Casserole (Nilaga),,,,26.155,5.72,1.2375,0.08,0.0325,0.015,721.79,129.785,1.38,2.7375,26.83,11.1475,71.915,0.3125,,0.0,0.0,RecipeDB,0
Filipino Fried Chicken,,,,377.6275,73.07,8.015,5.0875,1.6475,1.055,75.9125,122.3675,0.9175,25.3275,270.675,2.34,47.22,1.315,,186.0,0.07,RecipeDB,0
Vegetarian Chop Suey (Filipino),,,,211.08,39.0575,6.0725,4.5475,0.505,1.7275,69.0175,476.2875,6.26,7.2025,5686.4825,17.1075,69.45,1.9625,,0.0,0.03,RecipeDB,0
Filipino Vegetable Adobo,,,,83.8975,4.13,2.7075,7.1075,5.5625,0.185,675.1275,397.1375,2.2275,0.1525,7425.3225,99.305,163.61,1.32,,0.0,0.0,RecipeDB,0
Filipino Bistek (Or Beefsteak) My Way,,,,90.81,0.735,0.1175,10.2375,8.3275,0.1725,0.525,15.2825,0.29,0.005,6.29,0.0,6.575,0.11,,0.0,0.0,RecipeDB,0
DH's Sauce That Won Me Over To Asparagus,,,,163.23,0.905,0.8725,17.4575,2.3425,1.765,787.605,55.2175,0.09,0.135,30.745,1.7075,4.225,0.13,,14.355,0.0,RecipeDB,0
Sisig-Inspired Pork Shoulder (Oven or Pressure Cooker),,,,125.9325,14.9025,12.765,2.38,0.5675,0.7875,7217.435,652.9125,2.05,5.2975,249.2575,7.835,61.74,2.3,,46.86,0.01,RecipeDB,0
Spicy Noodles With Ginger and Fresh Vegetables,,,,388.9725,17.5375,20.4925,28.63,16.93,3.7675,330.24,791.635,5.86,8.12,12905.3775,14.91,164.75,3.335,,31.875,0.0,RecipeDB,0
Pork Adobo (Variation),,,,1458.78,12.8425,49.0275,132.8225,55.395,14.325,3769.145,1419.665,2.5775,5.1675,27.0175,4.065,102.99,4.8225,,212.4875,0.16,RecipeDB,0
Tocino (Version 6),,,,710.815,34.8475,102.2375,15.415,4.8675,2.2125,251.7575,1745.225,0.0575,34.5625,0.7,0.1025,47.455,4.19,,272.0,0.27,RecipeDB,0
Filipino Chicken Adobo,,,,2077.61,9.8625,47.55,204.3975,57.6925,41.395,2866.13,775.84,0.5975,2.8575,888.4925,1.445,54.89,2.4625,,475.9225,4.14,RecipeDB,0
Lumpia,,,,616.7975,45.2875,18.865,41.6775,14.585,4.7375,1322.8925,529.0575,5.1075,2.895,3473.425,8.4225,52.27,2.555,,130.415,0.01,RecipeDB,0
Filipino Style Fish Cakes,,,,171.27,3.245,23.2675,6.6175,1.86,1.7325,90.73,351.1,0.895,1.6075,7336.47,1.8875,31.36,1.4,,125.3,0.03,RecipeDB,0
Pancit Bihon,,,,133.51,7.985,7.3775,8.2975,1.365,1.0825,1480.975,463.6075,1.775,3.2825,5668.41,5.85,41.1825,0.9725,,1.26,0.0,RecipeDB,0
Ground Beef Soup Casserole,,,,608.215,80.9,31.585,16.4725,7.2,0.925,991.5775,689.0575,3.64,2.9525,586.8975,10.5925,107.5,7.3725,,70.305,3.4,RecipeDB,0
Filipino Pancit Bihon,,,,746.415,120.63,29.1375,16.2575,11.79,0.9325,1985.7825,1086.78,7.8725,13.205,8196.45,16.4175,144.545,3.7325,,92.4925,0.0,RecipeDB,0
Adobo Chicken With Ginger,,,,759.705,2.52,65.8875,51.4075,14.6825,11.07,1991.5225,826.42,0.315,0.3575,476.0,5.59,51.535,3.6275,,255.0,1.31,RecipeDB,0
Pork Hamonado,,,,422.4425,54.9075,46.81,1.4725,0.315,0.51,821.3925,873.495,1.6925,49.285,269.665,22.3,308.0375,4.3025,,113.3325,0.0,RecipeDB,0
Sari Sari,,,,162.5175,5.7675,17.495,8.02,5.89,0.3875,756.9025,566.57,1.46,3.7225,663.4125,10.285,37.71,1.4425,,42.215,0.02,RecipeDB,0
Morcon (Meat Roll) Phillipines,,,,825.0225,13.6275,40.05,68.2725,27.7575,2.8625,576.67,663.4475,1.2625,3.46,371.87,6.385,61.61,5.0175,,207.4325,0.01,RecipeDB,0
Filipino Clam Adobo,,,,63.7925,0.705,0.135,6.81,5.5425,0.1125,1.7675,8.7425,0.0425,0.025,0.19,0.6625,10.44,0.0375,,0.0,0.0,RecipeDB,0
Authentic Spicy Chicken Curry,,,,227.0425,4.3425,1.615,23.935,18.6375,0.53,9.84,173.9775,1.635,2.0575,299.515,3.2925,16.525,1.12,,24.575,0.0,RecipeDB,0
Filipino Beef Adobo With Coconut Milk,,,,844.2675,12.42,76.7225,55.925,38.92,1.6075,2041.255,1657.665,2.685,6.59,33.3025,2.7525,77.8,10.0975,,224.4,4.02,RecipeDB,0
Chicken Adobong,,,,1137.535,21.7075,99.4125,71.8125,32.515,13.6275,2201.7575,1411.8075,2.27,14.375,381.5725,2.5975,88.6525,5.4375,,296.865,1.9,RecipeDB,0
Filipino Beef Kabobs,,,,253.5475,8.585,35.77,7.615,4.24,0.72,1475.9225,558.7225,0.425,5.1325,372.0675,1.3275,222.3525,3.1625,,101.6225,0.0,RecipeDB,0
Grilled Turkey Tenderloins With Rosemary,,,,146.71,6.895,6.245,10.5475,1.495,1.155,27.1825,199.765,0.8375,5.2175,1535.345,20.98,60.44,0.8125,,14.165,0.0,RecipeDB,0
Beef Embutido With Peach Sauce #RSC,,,,512.135,30.42,38.32,25.3375,10.265,1.6575,266.4775,649.0925,0.885,26.4125,3204.22,7.2125,66.21,4.555,,244.96,5.16,RecipeDB,0
Adobo Bisaya,,,,263.9275,8.96,10.5475,20.085,7.0825,2.2425,1778.5375,320.7,0.4,6.92,7.68,0.225,33.1175,1.0175,,41.9575,0.0,RecipeDB,0
Wok's Happening! Jimmy's Kitchen Hong Kong Style Curried Fish,,,,73.685,2.92,2.6525,6.1475,3.7525,0.8125,241.38,109.3275,1.3225,0.6975,97.9,1.6575,24.995,0.9025,,46.5,0.01,RecipeDB,0
Filipino Chicken Adobo With Garlic,,,,461.3475,4.2825,41.4775,29.3125,8.06,5.7275,1071.09,570.3775,0.9175,1.0475,75.6725,1.7125,57.745,1.555,,251.7425,0.55,RecipeDB,0
Filipino Fried Rice,,,,572.515,92.575,37.995,4.5075,1.3325,1.005,1905.5475,1189.9625,6.125,8.4075,16444.13,53.74,100.115,6.4025,,72.575,0.05,RecipeDB,0
Ivory Hut's Quick and Easy Chicken Adobo,,,,31.7175,4.055,2.595,0.18,0.0225,0.0825,1753.61,163.4575,0.255,2.4275,0.0,0.0,17.44,0.5375,,0.0,0.0,RecipeDB,0
Spicy Florvel Beef,,,,116.86,12.3525,14.7725,2.0175,0.7725,0.1925,49.6825,375.3125,3.4,2.71,66.455,1.4025,69.8625,2.3575,,31.3275,0.25,RecipeDB,0
Cathy's Pork Adobo,,,,574.945,3.4,50.7425,37.91,14.875,3.6325,1003.475,992.0975,0.2875,1.905,217.1175,1.7325,62.6175,2.3375,,173.7925,0.0,RecipeDB,0
Chicken Adobo Aloha,,,,9.45,0.86,0.14,0.3525,0.06,0.1875,7.8575,20.4075,0.0425,0.0925,0.4025,0.665,7.975,0.0675,,0.2725,0.0,RecipeDB,0
Beef Egg Rolls,,,,347.1025,23.935,30.375,13.7675,4.59,2.5525,221.3175,470.3525,1.405,5.5175,3351.505,2.4225,92.8775,3.4625,,496.165,0.44,RecipeDB,0
Roast Beef for Two,,,,183.725,4.9175,26.9675,6.5975,3.97,0.23,66.4775,564.4025,1.2,2.6925,526.54,9.885,23.525,2.325,,62.3325,0.51,RecipeDB,0
Stuffed Squid,,,,382.15,23.0025,5.9375,30.11,2.9025,8.305,494.205,278.98,2.025,3.0225,3093.71,8.9075,41.695,0.885,,93.0,0.46,RecipeDB,0
Mom's Filipino Escabeche,,,,76.23,12.5275,1.575,2.2325,0.385,1.1725,712.005,170.9925,0.9,8.3325,2674.7025,2.94,32.1325,0.39,,1.64,0.0,RecipeDB,0
Beef With Veggies,,,,394.655,8.33,53.98,16.4575,3.795,1.4025,627.21,1048.9975,2.1925,3.585,5474.885,5.6875,56.4625,4.6825,,124.665,1.02,RecipeDB,0
Philippines Monggo Beans and Pechay (Mung Beans and Bok Choi),,,,89.8775,11.6,5.3025,3.125,1.9675,0.125,47.2375,284.3,1.6475,8.1375,102.81,10.75,129.8425,0.6275,,11.9425,0.0,RecipeDB,0
Authentic Filipino Chicken Adobo,,,,2921.6375,376.1175,137.6625,87.1575,24.88,18.9175,423.19,1683.4125,6.7825,2.2125,4370.3325,19.495,215.63,27.5475,,510.0,0.0,RecipeDB,0
Sinagang Salmon,,,,321.865,0.0,44.97,14.37,2.2225,5.755,99.7325,1110.6675,0.0,0.0,90.665,0.0,27.2,1.8125,,124.665,0.0,RecipeDB,0
Yummy Chicken Pork Adobo,,,,152.8825,1.6075,25.02,4.17,2.2025,0.525,92.89,320.06,0.0875,0.135,223.73,1.3275,156.7525,1.8625,,70.9275,0.0,RecipeDB,0
Pancit Canton,,,,568.1775,19.345,69.45,23.415,10.3575,3.435,1484.35,1557.5075,5.195,9.5575,13823.0825,28.73,157.895,3.8475,,233.0675,0.55,RecipeDB,0
